,Name,ReviewRate,ReviewTime,ReviewVisite,ReviewText,VoyageType,RoomRate,EmplacementRate,ServiceRate,HostelType
43,alessia gradi,3,il y a une semaine ,01/2023,"(Traduit par Google) Emplacement pratique, bonne organisation avec des navettes vers et depuis le Parc Disneyland Paris, pour le reste, même si la structure est à thème Cars, il n'y a pas d'ascenseur dans les structures séparées de celle centrale, où se trouve la réception et c'est gênant avec valises même si heureusement les bâtiments font 2 étages maximum.<br/>(Avis d'origine)<br/>Comoda la posizione, buona l'organizzazione con le navette da e per il Parco Disneyland Paris, per il resto anche se la struttura è a tema Cars non ha ascensore nelle strutture separate da quella centrale, dove si trova la reception ed è scomodo con le valigie anche se fortunatamente gli edifici sono massimo di 2 piani.", Vacances · Famille ,3.0,5.0,3.0,23
44,Emanuela Sabatini,4,il y a une semaine ,01/2023,,,4.0,5.0,5.0,23
45,Ana Cristina Concha,5,il y a une semaine ,01/2023,, Vacances ,5.0,4.0,5.0,23
46,Jose Alarcon,4,il y a une semaine ,01/2023,,,3.0,4.0,4.0,23
47,Lea Ambrosi,4,il y a une semaine ,01/2023,Mon amie a retrouvé un pantalon sale sous son lit . Hormis ça pour 1 nuit c est pas mal . Ca reste l hôtel le plus abordable., Vacances · Famille ,4.0,5.0,5.0,23
48,Nicolas Camacho,5,il y a une semaine ,01/2023,,,5.0,5.0,5.0,23
49,Kabir Da Camara,5,il y a une semaine ,01/2023,, Vacances · Famille ,5.0,5.0,5.0,23
50,Amanda Rousseau,5,il y a une semaine ,01/2023,, Vacances · Famille ,5.0,5.0,5.0,23
51,ronnie layton,5,il y a une semaine ,01/2023,,,,,,23
52,Teresa de Jesús León Coello,3,il y a une semaine ,01/2023,, Vacances · Famille ,2.0,5.0,4.0,23
53,Andréa Condinho,5,il y a une semaine ,01/2023,,,5.0,5.0,5.0,23
54,Ai Chan,5,il y a une semaine ,01/2023,"(Traduit par Google) C'est l'établissement d'hébergement le moins cher du complexe hôtelier à l'intérieur du parc, mais il a tout ce dont on a besoin et est confortable, propre, bonne nourriture continentale, bon accueil.<br/>Il est très agréable de retrouver sa chambre après une journée bien remplie au parc.<br/>(Avis d'origine)<br/>È la struttura ricettiva più economica del complesso di hotel all'interno del parco, ma ha tutto quello che necessita ed è confortevole, pulito, buon cibo continentale, buona ricezione.<br/>Risulta molto gradevole rientrare in camera dopo un'intera intensa giornata al parco.", Vacances · Famille ,5.0,5.0,5.0,23
55,Black Rider,2,il y a une semaine ,01/2023,"Fréquentation de l'hôtel très moyenne.. nous nous sommes senti peu sécurisé durant notre séjour..<br/>Des gens du voyage présents, rodent jusqu'à tard dans les couloirs..  Arrivent au self le soir sans payer.. alors que nous 35 € ce qui, cela dit en passant, relativement cher pour des petits appétits (adulte) - pensez à prévoir des entres deux.<br/>Les chambres sont vieillissantes, les serviettes tâchées de sang, sans compter les toiles d'araignées..<br/>Bref je vous déconseille cet hôtel quit à payer un peu plus cher et être un peu plus classé..<br/>Dommage ce n'est plus l'hôtel que j'ai connu il y a 10 ans ...",,2.0,5.0,3.0,23
56,Stéphane Nys,3,il y a une semaine ,01/2023,"J'y suis allez séjourner 2 nuits avec mon épouse et mes deux enfants et je dois dire que le personnel est vraiment agréable. En ce qui concerne la chambre et bien c'est juste pour dormir donc faut pas faire les difficiles on va dire mais bon les chambres devraient être remises en état car les murs sont plus tout jeunes, moquettes avec des taches et la literie franchement et bien on a pas eu de chances car on est tombés sur des draps tachés et surtout déchirés. C'est vrai que c'est l'hotel le moins cher de disney mais bon il faudrait juste faire un effort mais même avec ses petits inconvénient on reviendra car disney reste disney.", Famille ,3.0,5.0,5.0,23
57,Justo García,3,il y a une semaine ,01/2023,,,2.0,3.0,4.0,23
58,Hernán Busaniche,4,il y a une semaine ,01/2023,, Vacances · Famille ,4.0,4.0,4.0,23
59,Bas van 't Hof,3,il y a une semaine ,01/2023,"(Traduit par Google) hôtel fonctionnel, ici on dort principalement<br/>(Avis d'origine)<br/>functioneel hotel, hier slaap je vooral", Couple ,3.0,3.0,3.0,23
60,Océane Bouquerel,4,il y a une semaine ,01/2023,,,,,,23
61,Juan Carlos Camacho Bellido,5,il y a une semaine ,01/2023,,,2.0,5.0,5.0,23
62,Melody Boilot,5,il y a une semaine ,12/2022,"Vrai hôtel le moins cher de Disneyland Paris. Honnêtement, vu le temps qu'on y passe ça suffit amplement. L'ambiance cars est très sympathique. La literie est confortable. On a beaucoup apprécié les boissons chaudes offertes grâce aux cartes de l'hôtel. Le chocolat chaud du soir en plein décembre après 19km à marcher sous la pluie dans le parc a été un vrai réconfort. Les cast members à l'accueil ont tous été adorable.<br/>Le petit moins ce sont les places de parking. On a tourné longtemps pour en trouver une qui finalement été à l'opposé de notre chambre. Des pas en plus, parfois difficile. La navette pour se rendre au parc est vraiment régulière c'est au moins ça de gagné !<br/>Sinon tout le reste très bien !! J'y retournerai sans problème !",,,,,23
63,donal dillon,3,il y a une semaine ,01/2023,"(Traduit par Google) Les chambres sont basiques. très propres, tout comme l'ensemble du parc. Le personnel est extrêmement serviable et sympathique. Tous les repas étaient des buffets avec de nombreuses options pour tous. Un personnage de Disney s'est rendu à la réception de l'hôtel tous les soirs pour prendre des photos avec qui les voulait. Dans l'ensemble, cet hôtel était idéal pour nos besoins, une famille avec deux garçons de 5 et 7 ans. C'est à 5 minutes à pied du village de Disney. Je le recommande vivement.<br/>(Avis d'origine)<br/>Rooms are basic.kept very clean as is the whole Parc.staff we're extremely  helpful and friendly.all meals were buffet meals with loads of options for all.a disney character visited the hotel reception every night for photos with whoever wanted them.all in all this hotel was ideal for our needs,a family with two boys 5 and 7.its a 5 minute walk to Disney village.highly recommend it .", Vacances · Famille ,3.0,4.0,4.0,23
64,Patricia Nowak,2,il y a une semaine ,01/2023,Pour le prix la chambre ne correspond pas à ce tarif,,2.0,2.0,2.0,23
65,Raúl Serra,5,il y a une semaine ,01/2023,, Vacances · Famille ,4.0,5.0,5.0,23
66,Amine Kerkache,1,il y a une semaine ,01/2023,Agent de sécurité mal éduqués,,,,,23
67,Μαρία Ρήγα,5,il y a une semaine ,01/2023,,,,,,23
68,Francine Taupin,5,il y a une semaine ,01/2023,,,,,,23
69,Sandrine Ruspini,5,il y a une semaine ,01/2023,,,5.0,5.0,5.0,23
70,Montaha Moazzen,4,il y a une semaine ,01/2023,,,,,,23
71,Henny Aartsen,5,il y a une semaine ,01/2023,(Traduit par Google) J'y ai dîné avec toute la famille et fêté mon anniversaire. Ce dernier était super cool. Tous les serviteurs viennent à votre table pour chanter pour vous. Super 👍🥳<br/>(Avis d'origine)<br/>Heb daar met het hele gezin gegeten en mijn verjaardag gevierd. Dat laatste was super cool. Alle bediendes komen naar jou tafel toe om voor je te zingen. Top 👍🥳,,,,,23
72,peter vranken,5,il y a une semaine ,01/2023,(Traduit par Google) Personnel très sympathique et bon petit déjeuner et activités pour les enfants<br/>(Avis d'origine)<br/>Personeel zeer vriendelijk en lekker ontbijt en kinderactiviteiten,,4.0,5.0,5.0,23
73,Renata Falci,2,il y a une semaine ,01/2023,(Traduit par Google) C'est trop cher pour des installations simples. Mais l'expérience en vaut la peine.<br/>(Avis d'origine)<br/>É muito caro para as instalações simples. Porém vale a experiência.,,,,,23
74,Alex Sastre,4,il y a une semaine ,01/2023,"(Traduit par Google) La chambre un peu petite. Comme il est réparti sur de nombreux bâtiments, il est apprécié de ne pas avoir à attendre longtemps l'ascenseur aux heures de pointe<br/>(Avis d'origine)<br/>La habitación, un poco pequeña. Al estar repartido en muchos edificios, se agradece no tener que esperar mucho rato el ascensor en horas de punta",,4.0,4.0,4.0,23
75,Tommy Barwick,5,il y a une semaine ,01/2023,"(Traduit par Google) Tout le monde a ses propres options sur Disney. Le mien était absolument incroyable. Avec une autre femme de la famille, deux filles, un gendre et mon petit-fils. J'y retournerai certainement<br/>(Avis d'origine)<br/>Everyone has there own options on Disney. Mine was absolutely amazing. With other family wife two daughters son in law and my grandson. Definitely go back",,,,,23
76,Chris Durham,4,il y a 2 semaines ,01/2023,(Traduit par Google) C'est l'un des hôtels économiques de la station mais tout à fait suffisant pour une visite à Disney. Le temps dans la chambre est limité car vous êtes la plupart du temps dans le parc.<br/>La chambre est vieillotte mais propre.<br/>Nous avons pris le petit déjeuner ici mais préférons les autres restaurants pour nos repas du soir.<br/>Nous avons séjourné ici plusieurs fois en hiver et nous n'avons rien à redire sur la température ambiante.<br/>(Avis d'origine)<br/>It is one of the budget hotels on the resort but perfectly adequate for a visit to Disney. Time in the room is limited as you are in the park most of the time.<br/>Room is dated but clean.<br/>We ate breakfast here but prefer the other restaurants for our evening meals.<br/>We have stayed here afew times now in Winter and have no complaints on room temperature.,,4.0,4.0,4.0,23
77,jessica tirado,4,il y a 2 semaines ,01/2023,, Vacances · Famille ,4.0,3.0,4.0,23
78,anastasia stergianni,5,il y a 2 semaines ,01/2023,(Traduit par Google) Si je pouvais je mettrais dix étoiles !<br/>(Avis d'origine)<br/>Αν μπορούσα θα έβαζα δέκα αστέρια!,,5.0,5.0,5.0,23
79,Angel Herraiz,5,il y a 2 semaines ,01/2023,(Traduit par Google) Petit déjeuner incroyable !!<br/>(Avis d'origine)<br/>Amazing breakfast!!,,,,,23
80,Filipe Rocha,5,il y a 2 semaines ,01/2023,"(Traduit par Google) le rapport qualité/prix est bon, l'hôtel est vieux et un peu vieillot<br/>(Avis d'origine)<br/>relação qualidade/preço é boa, o hotel e antigo e um pouco desgastado", Vacances · Famille ,4.0,5.0,5.0,23
81,kevsmoker,3,il y a 2 semaines ,01/2023,Hôtel assez bien les je trouve hyper chers pour la qualité des chambres.,,4.0,4.0,4.0,23
82,Massimo Generoso Buttarazzi,5,il y a 2 semaines ,01/2023,,,4.0,5.0,3.0,23
83,Catherine GAIGNIERE,5,il y a 2 semaines ,01/2023,Un super hôtel fait plusieurs fois et jamais déçue, Vacances · Famille ,5.0,5.0,5.0,23
84,GAMERFORLIF3,1,il y a 2 semaines ,01/2023,(Traduit par Google) Une expérience horrible ne reviendra pas dans cet hôtel ni à Disneyland Paris! Honte à toi ! Quel con.<br/>(Avis d'origine)<br/>Awful experience will not be coming back to this hotel neither disneyland paris ! Shame on you ! What a con.,,1.0,1.0,1.0,23
85,Thierry Vandecan,4,il y a 2 semaines ,01/2023,,,4.0,4.0,4.0,23
86,Jeremy Cuvelier,5,il y a 2 semaines ,01/2023,,,5.0,5.0,5.0,23
87,Océane Mesplomb,3,il y a 2 semaines ,01/2023,, Vacances · Famille ,3.0,4.0,4.0,23
88,Saf,5,il y a 2 semaines ,10/2022,"Nous y avons séjourné pour la période d’Halloween et nous avons adoré notre séjour ! Vous pouvez accéder au parc via les navettes en 10/15 minutes mais aussi à pied en passant par des petits chemin en seulement 20 minutes et cous pourrez en profiter pour voir les autres hôtels et passer par le village, c’est sympa. La chambre était très propre et bien dans le thème ! Nous y retournerons !", Couple ,5.0,5.0,5.0,23
89,c l,5,il y a 2 semaines ,01/2023,"Bonne hôtel pour une nuit , propre mais vétuste.",,4.0,4.0,4.0,23
90,dimitris mavronikolas,5,il y a 2 semaines ,01/2023,,,5.0,5.0,5.0,23
91,neil shepherd,5,il y a 2 semaines ,01/2023,"(Traduit par Google) Hôtel incroyable, les chambres étaient spacieuses et les lits étaient très confortables même si la baignoire est petite, le personnel excellent est très serviable et à seulement deux minutes en navette de Disney Land.<br/>(Avis d'origine)<br/>Amazing hotel, rooms were spacious and beds were very comfortable although the bath is small, excellent staff very helpful and just a two minute shuttle bus ride to disney land.", Vacances · Famille ,5.0,5.0,5.0,23
92,Lisa Southern,5,il y a 2 semaines ,01/2023,, Vacances · Famille ,5.0,5.0,5.0,23
93,Daniel Dreher,5,il y a 2 semaines ,01/2023,, Vacances · Famille ,4.0,5.0,5.0,23
94,Gabriella Zanga,5,il y a 2 semaines ,01/2023,"(Traduit par Google) Hôtel parfait, accueil avec un personnel sympathique et serviable parlant toutes les langues, zone stratégique pour le parc Disney et équipée d'une boutique Disney et d'un bar. Chambres très agréables, seul défaut en hiver une chaleur hallucinante sans possibilité de pouvoir baisser un peu la température.<br/>(Avis d'origine)<br/>Hotel perfetto, reception con personale cordiale disponibile e in grado di parlare ogni lingua, zona strategica per il parco disney e dotata di uno shop disney e un bar. Camere molto belle, unica pecca in inverno un caldo allucinante senza possibilità di poter abbassare un po' la temperatura.",,5.0,5.0,5.0,23
95,Leonardo Domont,5,il y a 2 semaines ,01/2023,À été une expérience merveilleuse.,,5.0,5.0,5.0,23
96,Alain Kessler,5,il y a 2 semaines ,01/2023,,,3.0,4.0,3.0,23
97,PIERRON Jonathan,4,il y a 2 semaines ,01/2023,,,,,,23
98,Pedro Lopes,5,il y a 2 semaines ,01/2023,,,5.0,5.0,5.0,23
99,Justine,4,il y a 2 semaines ,12/2022,Le personnel est très agréable et accueillant. Le cadre est sympathique et le fait qu'il y ait une navette gratuite est top! Le point négatif c'est vraiment l'hygiène des chambres qui est à revoir ! Il y avait des cotons tiges des précédents occupants en dessous du lit pas très hygiénique surtout avec un enfant en bas âge., Famille ,3.0,5.0,5.0,23
100,sergio mandurrino,5,il y a 2 semaines ,01/2023,,,,,,23
101,salut zombie,4,il y a 2 semaines ,01/2023,, Famille ,4.0,4.0,4.0,23
102,uyi (Uyi),3,il y a 2 semaines ,01/2023,,,,,,23
103,MÁXIMO DÉCIMO MERIDIO (MAXIMO DECIMO MERIDIO),4,il y a 2 semaines ,01/2023,,,4.0,4.0,4.0,23
104,Tine K.,1,il y a 2 semaines ,01/2023,,,,,,23
105,stephanie sebilleau,3,il y a 2 semaines ,01/2023,"Hôtel bien placé car proche du parc Disney et accessible en navette.  Mériterait un petit coup de neuf qd même (peinture, portes lourdes et qui grincent. Déçu du restaurant tout simplement hors de prix pour un buffet à volonté",,3.0,4.0,3.0,23
106,JHOMMEL ESOY,5,il y a 2 semaines ,01/2023,(Traduit par Google) l'un des hôtels disney les moins chers près du parc. . . nourriture délicieuse chambres et service excellents<br/>(Avis d'origine)<br/>one of the cheapest disney hotel near the park...delicious food great rooms and service,,5.0,5.0,5.0,23
107,Jean-luc Vimard,3,il y a 2 semaines ,01/2023,, Vacances · Famille ,4.0,3.0,4.0,23
108,Nicolas Berthier,3,il y a 3 semaines ,01/2023,"Hôtel et personnel agréable. Matelas dur, sol des chambres pas très propre", Vacances · Famille ,3.0,5.0,5.0,23
109,Osiris Odette Prieto de Badiola,4,il y a 3 semaines ,01/2023,"(Traduit par Google) L'hôtel a l'air vieux et les chambres sont petites. Ceux qui sont proches de la rivière, qui sont ceux du fond, sont un peu éloignés et il faut marcher un peu.<br/>Le personnel ne vous guide pas bien. Aujourd'hui, au milieu du Nouvel An, ils nous ont dit qu'il n'y aurait pas de feu d'artifice quand nous allions demander et heureusement nous sommes sortis et l'avons vu d'un bâtiment voisin. Il n'y a pas de bonne qualité de vins, il vaut mieux boire soit de la bière soit des cocktails.<br/>Le reste du service des valises et des bus très bien.<br/>(Avis d'origine)<br/>El hotel se ve algo viejo y pequeñas las habitaciones.   Las que están cerca al río, que son las que están atrás están algo alejadas y toca caminar alguito.<br/>El personal no te orienta bien.  Hoy en pleno año nuevo nos dijeron que no habría fuegos artificiales cuando nos acercamos a preguntar y por suerte salimos y lo vimos desde un edificio cercano. No hay buena calidad de vinos, es mejor tomar o cerveza o cócteles.<br/>De resto el servicio de las maletas y los buses muy bien.", Vacances · Famille ,3.0,2.0,3.0,23
110,Vanessa Geliot,2,il y a 3 semaines ,12/2022,"Vieillot, moquette pas très hygiénique, rideau de douche jaunâtre et serviette de bain taché. Bien pour petit budget et pour une nuit pas plus...",,2.0,3.0,3.0,23
111,maria Jose Garcia,5,il y a 3 semaines ,12/2022,(Traduit par Google) Un hôtel très calme et de super lits super confortables. Super petit déjeuner et ouvriers très gentils<br/>(Avis d'origine)<br/>Un hotel muy tranquilo y las camas estupendas super cómodas. El desayuno genial y los trabajadores muy agradables,,5.0,5.0,5.0,23
112,Pathy Galvez,5,il y a 3 semaines ,12/2022,(Traduit par Google) Belle une de mes préférées<br/>(Avis d'origine)<br/>Bellissimo uno dei miei preferiti,,,,,23
113,Craig Wood,4,il y a 3 semaines ,12/2022,, Famille ,,4.0,,23
114,David S.,5,il y a 3 semaines ,12/2022,,,,,,23
115,caroline baizeau,5,il y a 3 semaines ,12/2022,, Vacances · Famille ,5.0,5.0,5.0,23
116,Philippe Letrun,5,il y a 3 semaines ,12/2022,, Vacances · Famille ,5.0,5.0,5.0,23
117,Constance D,5,il y a 3 semaines ,12/2022,, Vacances · Famille ,5.0,5.0,5.0,23
118,Boris Laloue,4,il y a 3 semaines ,12/2022,Hotel sympathique pour sejour en famille le seul point noir le prix du restaurant la cantina, Vacances · Famille ,4.0,4.0,4.0,23
119,Karim Z.,5,il y a 3 semaines ,12/2022,"Propre et calme, couverture un peu juste pour un lit double", Vacances · Famille ,5.0,5.0,4.0,23
120,Lexie Flitter,5,il y a 3 semaines ,12/2022,,,5.0,5.0,5.0,23
121,brian de swart,4,il y a 3 semaines ,12/2022,"(Traduit par Google) Pro:<br/>• Grande expérience globale.<br/>• Chambres incroyables en termes de décorations sur le thème de Disney.<br/>• Très propre.<br/>• Parking juste devant la chambre.<br/>• Courte distance de marche de Disneyland.<br/>Contre :<br/>•Pas de photos avec Mickey dans le hall même si c'était annoncé sur la brochure que nous avons reçue à l'arrivée.<br/>• Le petit déjeuner offre peu de variation.<br/>• Les contrôles de sécurité semblaient aléatoires. (Parfois, ils traversent toute votre voiture, parfois non.)<br/>(Avis d'origine)<br/>Pro:<br/>• Great overall experience.<br/>• Amazing rooms in terms of Disney themed decorations.<br/>• Very clean.<br/>• Parking right in front of the room.<br/>• Short walk to Disneyland.<br/>Con:<br/>•No pictures with Mickey in the lobby even though it was advertised on the brochure we received at the check-in.<br/>• Breakfast offers little variation.<br/>• Security checks felt random. (Sometimes they go through your entire car, sometimes they don't.)",,,,,23
