Review ID,Review Rate,Review Time,Review Text,Review Visite
Alicia,5,il y a 7 heures,"(Traduit par Google) Le billet est rapidement épuisé, la réservation est donc obligatoire!Recommander d'utiliser une seule ligne de cavalier.Souvenir inoubliable encore une fois.(Avis d'origine)Ticket is sold out quickly, so reservation is mandatory!Recommend to use single rider line.Unforgettable memory once again.",Visité en janvier
Emii,5,il y a 8 heures,no comment,Visité en octobre 2022
Samantha Boucher,5,il y a 8 heures,no comment,Visité en janvier
Héctor Poveda,5,il y a 8 heures,no comment,no visite mentionned
Da Mota Alicia,5,il y a 8 heures,no comment,Visité en janvier
matisse p,4,il y a 8 heures,no comment,Visité en janvier
Laetitia Bonhomme,5,il y a 8 heures,no comment,Visité en janvier
Fratila Alexandru,5,il y a 8 heures,no comment,Visité en janvier
Marion LAURENT,5,il y a 9 heures,no comment,Visité en janvier
Eleni Moulakaki,5,il y a 9 heures,no comment,Visité en janvier
Amani Haidar,5,il y a 9 heures,"(Traduit par Google) C'était magique ! Endroit incroyable à visiter et à apprécier, vous vous sentez dans un conte de fées, surtout pendant le spectacle de lumière la nuit.Beaux thèmes, jeux, environnement, spectacles et boutiques.Une chose est que la carte était un peu déroutante, peut-être que si des panneaux étaient placés, cela aiderait grandement les gens.(Avis d'origine)It was magical! Amazing place to visit and enjoy, you feel yourself in a fairytale, especially during the light show at night.Beautiful themes, games, environment, shows and shops.One thing is that the map was a bit confusing, maybe if some signs were placed, it will greatly assist people.",Visité en janvier
bishnik leb,4,il y a 9 heures,no comment,Visité en janvier
Fraigne alexandre,5,il y a 9 heures,no comment,Visité en janvier
Jonathan Bindewald,5,il y a 9 heures,"(Traduit par Google) Bon et beau parc d'attractions. Bons hôtels. Malheureusement parfois beaucoup d'activité et donc de files d'attente, mais ça vaut quand même le coup.(Avis d'origine)Guter und Schöner Freizeitpark. Gute Hotels. Leider manchmal viel Betrieb und damit Anstehzeiten, lohnt sich trotzdem.",Visité en octobre 2021
Joy NK,5,il y a 9 heures,no comment,Visité en janvier
Nado Rules (“NadoRules”),4,il y a 9 heures,"(Traduit par Google) Belle une fois dans une vie un peu chère mais la magie en vaut la peine le seul problème que nous avons est que certaines des plus grandes attractions étaient en baisse lors de notre visite, mais dans l'ensemble, c'est vraiment agréable, préparez-vous à traverser beaucoup de ligne Je fortement suggérons d'acheter le passe d'amorce qui laisse passer la moitié de la ligne ou plus(Avis d'origine)Beautiful once in a lifetime a bit expensive but the magic there is worth it the only problem we’re that some of the bigger highlight rides were down when we visited but overall it’s really nice just get ready to go through a lot of line I strongly suggest to buy the primer pass which lets pass through half the line or more",Visité en janvier
Jacques BARSI,5,il y a 10 heures,no comment,Visité en janvier
Hemant Patel,5,il y a 10 heures,no comment,Visité en janvier
M M,5,il y a 11 heures,no comment,Visité en janvier
Candice Hudson,5,il y a 13 heures,(Traduit par Google) Littéralement l'un des endroits les plus heureux sur terre! J'ai tout aimé de Disneyland Paris. J'ai fêté mes 30 ans avec le parc à thème et je suis content de l'avoir fait!(Avis d'origine)Literally one of the happiest places on earth! I loved everything about Disneyland Paris. I celebrated my 30th birthday with the theme park and I’m glad I did!,Visité en juin 2022
avadhut khade,5,il y a 13 heures,no comment,Visité en janvier
AnthoJVL (AnthoJVL),5,il y a 15 heures,no comment,Visité en janvier
Benjamin Ducastelle,4,il y a 15 heures,"Parc d’attraction pour tous les fans de l’univers Disney, pixar, star wars et bientôt Marvel. Possédant un pass annuel, je regrette l’augmentation des tarifs et le fait de devoir réserver sa place pour venir (parc souvent complet alors que pass pour 365 jours…)La nourriture des restaurants avec réservation est plutôt bonne malgré un tarif élevé.La parade présente actuellement est vraiment sympa.Malheureusement beaucoup de monde même en semaine (étrangers +++) qui ne sont pas forcément respectueux des autres guests.Je mets malgré tout 4 étoiles car à chaque fois que l’on y va on retombe en enfance et entrons dans un monde merveilleux.Et 2 spectacles qui en valent l’attente : le roi lion / Mickey et le magicien +++",Visité en mai 2022
Kraria Hinda,3,il y a 15 heures,no comment,Visité en janvier
Jessica Rodriguez,5,il y a 15 heures,no comment,Visité en janvier
sammy bcy,5,il y a 15 heures,no comment,Visité en janvier
Mickael Brevard,5,il y a 16 heures,no comment,Visité en janvier
Tez K,1,il y a 16 heures,"(Traduit par Google) J'ai eu une très mauvaise expérience avec Disneyland Paris et il a été très déçu après tout !!!Tout d'abord, nous avons pris la navette de notre hôtel jusqu'à Disneyland Paris et sommes arrivés à l'entrée sud. Ensuite, nous devions d'abord déposer notre chien avant d'entrer dans le parc. Il n'y avait pas de signalisation / personnel pour guider les visiteurs où le centre de soins aux animaux devrait être. Nous nous sommes promenés pendant un moment jusqu'à ce que nous trouvions qu'un membre du personnel de l'entrée sud pouvait nous guider. C'était une longue marche. Enfin nous avons déposé notre chien. Au fait, je peux dire que le personnel du Animal Care Center était super et sympathique !Vers 20h, nous avons décidé de quitter le parc et de récupérer notre chien. Après que notre chien ait été pris en charge, nous avons dû retourner à l'entrée sud car l'arrêt de la navette de notre hôtel était là. Apparemment, nous devions encore passer par la porte de sécurité avant d'atteindre l'entrée sud depuis l'est.Lorsque nous étions au point de contrôle de sécurité, il y avait 5 à 6 agents de sécurité qui nous ont dit qu'aucun chien n'était autorisé et qu'ils ne nous permettraient pas de traverser l'entrée sud. Ils ne parlaient pas bien anglais et n'arrêtaient pas de dire «pas de chiens pas de chiens» avec une attitude impolie envers nous, même si nous leur avons expliqué plusieurs fois, mais personne n'a écouté. Ils n'arrêtaient pas de se demander pourquoi nous insistions pour aller à l'entrée sud. Nous avions l'impression qu'ils nous traitaient comme des criminels. Enfin, l'un des gars de la sécurité est venu et parlait un anglais correct. Il nous a compris et a expliqué à ses collègues notre situation. Ensuite, un des gars de la sécurité nous a demandé de le suivre et nous a accompagnés jusqu'à l'entrée sud.Toute l'expérience dans la zone de contrôle de sécurité était inappropriée et ils nous ont traités de manière hostile. Nous n'avions pas du tout l'impression d'être dans un environnement convivial de Disneyland.Nous sommes encore vraiment énervés. Disneyland Paris doit communiquer clairement avec son équipe de sécurité pour s'assurer que les visiteurs avec des chiens peuvent être déposés ou récupérés sans problème. De plus, ils devraient avoir un chemin dégagé ou un flux de marche entre l'entrée sud et l'entrée est lorsque les visiteurs avec des chiens !!! C'était un personnel de sécurité très désorganisé et hostile! ! ! Nous ne pensons pas que nous reviendrons à Disneyland Paris.(Avis d'origine)I had a very bad experience with Disneyland Paris and it was very disappointed after all!!!First of all, we took our hotel shuttle bus to Disneyland Paris and arrived at the south entrance. Then, we needed to drop off our dog first before entering the park. There were no signage / staffs to guide visitors where the Animal Care Center should be. We walked around for awhile until we found a staff from the south entrance could guide us. It was a long walk. Finally we dropped off our dog. By the way, I can say the staffs at the Animal Care Center were great and friendly!Around 8pm, we decided to leave the park and pickup our dog. After our dog got pickup, we had to walk back to the South entrance since our hotel shuttle bus stop was there. Apparently, we still needed to go thought the security gate before reaching to the South entrance from the East.When we were at the security check point, there were 5-6 security guys told us no dogs allowed and they wouldn’t allow us to walk through to the south entrance. They didn’t speak well in English and kept saying “no dogs no dogs” in impolite attitude to us, even though we explained to them for several times, but no one listened. They kept questioning why we insisted to go to the South entrance. We felt like they treated us as criminals. Finally, one of the security guy came and spoke decent English. He understood us and explained to his colleagues about our situation. Then, one of the security guy asked us to follow him and walked us to the south entrance.The whole experience at the security check area was inappropriate and they treated us unfriendly. It didn’t feel we were at a friendly Disneyland environment at all.We are really upset still. Disneyland Paris should communicate with their security team clearly to ensure visitors with dogs can be drop off or pickup their dogs smoothly without any issues. As well, they should have a clear path or walk flow between south and east entrance when visitors with dogs!!! It was very disorganised and unfriendly security staffs!!! We don’t think we will visit Disneyland Paris again.",Visité en janvier
Gérald Charrieras,5,il y a 16 heures,no comment,Visité en janvier
Ismael DR,5,il y a 16 heures,(Traduit par Google) Super parc d'attractions !(Avis d'origine)Impresionante parque de diversiones!,Visité en janvier
ΑΝΤΩΝΙΟΣ ΑΛΕΦΡΑΓΚΗΣ,5,il y a 16 heures,no comment,Visité en janvier
Ruben Jonges,5,il y a 16 heures,"(Traduit par Google) Comme toujours super ! Le temps d'attente n'était pas trop mal, la nourriture était bonne ! Il faut aller dans les ""vrais"" restaurants pour ça. Astuce : vous mangez mieux et restez « rassasié » plus longtemps. En conséquence, vous dépensez moins en collations. En conséquence, vous perdez moins à la fin.Les spectacles, défilés et animations sont toujours formidables.Je viens au moins une fois par an, je continuerai à le faire !(Avis d'origine)Zoals altijd geweldig! De wachttijd viel mee, het eten was goed! Je moet daarvoor wel naar de 'echte' restaurants. Tip: je eet beter en blijft langer 'vol'. Daardoor geef je minder aan snacks uit. Hierdoor ben je uiteindelijk minder kwijt.De shows, parades en entertainment zijn altijd weer mooi.Ik kom minstens 1 keer per jaar, dat blijf ik doen!",Visité en janvier
M G G,5,il y a 16 heures,"(Traduit par Google) Un lieu magique, tout est beau, la seule chose que j'ai à dire contre c'est qu'avec ce que l'on paie, le temps d'attente en file pour les attractions devient un mythe(Avis d'origine)Un lugar mágico, todo precioso lo único que tengo que decir en su contra es que con lo que se paga se hace mito tiempo de espera de cola para las atracciones",Visité en janvier
donal dillon,5,il y a 16 heures,"(Traduit par Google) J'ai adoré.voyagé en famille de 4 avec 2 garçons de 5 et 7 ans à la fin de la saison de Noël, le meilleur moment de l'année pour découvrir la magie de Disney.il y en a pour tous les goûts ici, petits et grands, et vous passerez des jours ici à découvrir de nouvelles choses à faire et à voir. le spectacle nocturne est un must pour tout le monde et les défilés de jour avec les personnages de Disney sont parfaits pour les enfants. une visite incontournable pour toute famille.(Avis d'origine)LoVed it.travelled as a family of 4 with 2 boys 5 and 7 at the end of the Christmas  season the best time of year to experience  the magic of Disney.there is something for everyone young and old hereand you will spend days here discovering  new things to do and see.the night time show is a must see for everyone and the day parades with the Disney characters are great for the kids.a must visit for any family.",Visité en janvier
Andrea D,5,il y a 17 heures,"(Traduit par Google) Magnifique, nous avons séjourné dans l'hôtel à thème ouest, les attractions et espaces thématiques vous font voyager dans le temps, à visiter absolument au moins une fois dans sa vie !(Avis d'origine)Bellissimo, noi abbiamo alloggiato nell'hotel a tema west, attrazioni e aree tematiche ti riportano indietro nel tempo, da visitare assolutamente almeno una volta nella vita!",Visité en janvier
Andréa Falcão,5,il y a 17 heures,no comment,Visité en janvier
M Chouf,1,il y a 17 heures,no comment,Visité en janvier
C Drick,4,il y a 17 heures,no comment,Visité en octobre 2022
GhadaAtta,4,il y a 17 heures,"(Traduit par Google) J'y étais pour la première fois au début de la nouvelle année 2023.Mercredi, j'ai réservé le billet en ligne 2 jours avant.Mon expérience a été formidable et merveilleuse, vous avez vraiment l'impression de vivre dans une histoire magique, vous êtes comme une princesse dans une histoire Disney, chaque décoration y est magnifique, il faut plus de 2 jours pour se rendre au parc Disney (Fantasy Land, Adventureland, Pirates, Star Wars, ...etc) et Disney StudiosJe me plains que c'est toujours complet et qu'il faut attendre environ une heure avant chaque match et les prix sont un peu chersJ'y étais pour la première fois au début de la nouvelle année 2023.Mercredi, j'ai réservé le billet en ligne 2 jours avant.Mon expérience a été formidable et merveilleuse, vous avez vraiment l'impression de vivre dans une histoire magique, vous êtes comme une princesse dans une histoire Disney, chaque décoration y est magnifique, il faut plus de 2 jours pour terminer le parc Disney (Fantasy Land, Adventure Land, Pirates, Star Wars, ...etc) et Disney StudiosJe me plains qu'il soit toujours complet et qu'il faut attendre environ une heure avant chaque match et les prix sont un peu chers(Avis d'origine)Ich war zu Beginn des neuen Jahres 2023 zum ersten Mal dort.Am Mittwoch, ich habe das Ticket 2 Tage vorher online gebucht.Meine Erfahrung über war eine große und wunderbare, Sie wirklich das Gefühl, dass Sie in einer magischen Geschichte leben Sie wie eine Prinzessin in einer Disney-Geschichte jede Dekoration gibt es herrliche, es braucht mehr als 2 Tage, um Disney-Park (Fantasy Land, Abenteuerland, Piraten, Star Wars, ... etc) und Disney-Studios zu beendenIch beschwere mich, dass es immer ausgebucht ist und man vor jedem Spiel etwa eine Stunde warten muss und die Preise irgendwie teuer sindI was there for the first time at the beginning of the new year 2023.On Wednesday, I booked the ticket online 2 days before.My experience over was a great and wonderful, you really feel that you are living in a magical story you are like a princess in a Disney story every decoration there is magnificent, it takes more than 2 days to finish Disney Park (Fantasy Land, Adventure Land, Pirates, Star Wars, ... etc) and Disney StudiosI complain that it is always fully booked and you have to wait about an hour before each game and the prices are kind of expensive",Visité en janvier
Manon C.A.,5,il y a 17 heures,"(Traduit par Google) Une si belle et magique expérience ! Préparez-vous à ne pas pouvoir simplement manger dans un restaurant du parc, vous devez réserver longtemps à l'avance.(Avis d'origine)Zo'n mooie en magische ervaring! Wees er op voorbereid dat je niet zomaar in een restaurantje kan eten op het park, dit moet je ver van te voren boeken.",Visité en janvier
Gabriel Reljich,3,il y a 17 heures,no comment,Visité en janvier
Carla de Wit,3,il y a 17 heures,"(Traduit par Google) Été à Euro Disney 3-4-5 janvier 2023. Désolé mais quelle déception. Seulement acheté une photo pour 70 euros, il y avait peu d'attractions où des photos étaient prises, si je les avais achetées séparément j'aurais été moins chère. Parade qui avait l'habitude d'être là à cette époque très cool, maintenant 3 à 4 fois par jour un wagon avec quelques chiffres sur zootropical. Il y avait si peu de personnages Disney que si vous vouliez vous y tenir avant qu'ils n'arrivent, c'était déjà plein et vous ne pouviez plus l'atteindre. J'étais content que par hasard je puisse prendre une photo avec ma petite-fille de 8 ans avec Dingo, c'était aussi la seule en 3 jours. Puis le dernier la nourriture. Nous étions à l'hôtel Marvel (New York) et y avons dîné le dernier soir (nous avions emporté de la nourriture avec). L'ami de ma fille, mon petit-fils et ma petite-fille avaient des lasagnes et honnêtement, cela aurait pu être un bol de nourriture pour chien. J'avais moi-même du poisson et 5 tranches de légumes et ma fille avait du poulet 2 cubes d'environ 3 cm de côté et un plat avec des pommes de terre. Il y avait une petite entrée et un petit dessert. Nous avons reçu un reçu pour 176 euros par la suite, vraiment bizarre comment ils osent demander. Ensuite le pire c'est que ma petite-fille a craché cette nuit-là et n'a jeté que des lasagnes vraiment minables et a mal dormi ensemble. Maintenant, je ne parle même pas des prix des souvenirs ou du petit-déjeuner. C'est tellement décevant et j'ai dû payer plus de 4000 euros pour cela.(Avis d'origine)3-4-5 jan 2023 in euro Disney geweest. Sorry maar wat is dat tegengevallen. Heb een foto pas gekocht van 70 euro ,er waren weinig  attracties waar foto’s werden gemaakt, als ik  ze los had gekocht had ik goedkoper geweest. Parade die er vroeger was rond deze tijd heel gaaf, nu 3 tot 4 keer op een dag een wagen met een paar figuurtjes er op uit zootropelisch. Disney figuren waren er zo weinig dat als je er wilde gaan staan voor ze kwamen was het al vol en kon je er niet meer bij. Was blij dat ik per toeval met mijn kleindochter van 8 met Goofy op de foto kon was ook de enige in 3 dagen. Dan het laatste het eten. Wij zatten in het Marvel hotel (New York) en de laatste avond daar gegeten (we hadden eten erbij genomen) de vriend van mijn dochter, mijn kleinzoon en kleindochter hadden lasagne genomen en eerlijk had zo een bak hondenvoer kunnen zijn. Ikzelf had vis en 5 plakjes groenten en mijn dochter had kip 2 blokjes van ong 3 cm in het vierkant en een schaaltje met aardappeltjes. Hadden een klein voorafje en een klein toetje. We kregen wel een bon achteraf 176 euro , echt bizar hoe ze het durven te vragen. Dan het ergste is dat mijn kleindochter die nacht heeft gespuugd en alleen de lasagne eruit heeft gegooid echt zielig en samen slecht geslapen. Nu heb ik het niet eens over de prijzen van souveniertjes of het ontbijt . Het is zo verschrikkelijk tegen gevallen en hier heb ik ruim 4000 euro voor moeten betalen bezopen.",Visité en janvier
Patricia Nowak,4,il y a 17 heures,no comment,Visité en janvier
Maxime Deknuyt,5,il y a 17 heures,no comment,Visité en janvier
Mariann Átol-Bodor,5,il y a 17 heures,"(Traduit par Google) Nous avons passé 3 jours ici, même s'il y avait beaucoup de monde et nous avons dû attendre longtemps, mais cet endroit est magiqueCe n'était pas la première fois et ce ne sera pas la dernière. la magie(Avis d'origine)3 napot töltöttünk itt, igaz nagyon sokan voltak és sokat kellett várni, de ez a hely varázslatosNem először voltunk és nem is utoljára. Magic",Visité en décembre 2022
שחר פוני,5,il y a 17 heures,no comment,Visité en janvier
Guillaume Couqueberg,3,il y a 17 heures,"Déçu sur plusieurs points, nous sejournons 2 nuits et 3 jours, et une nouvelle fois spacemontain fermé...soit en panne, soit en rénovation...du coup pour mon 3e séjour ici je n'ai toujours pas pu le faire. Concernant le restaurant, nous réservons pour une heure précise et nous devons quand même fait la queue 30 min pour pouvoir rentrer.  (Hôtel newport). Concernant l'application, beaucoup d'anomalie dans la gestion du tps des attractions mais aussi l'affichage des durées des attractions dans le parc, toujours 15 à 20 min de plus qu'annoncer.  Et enfin je ne compte même pas le nombre de personnes irrespectueuse qui se faufilent devant tous le monde sans que personne du parc ne dise rien.",Visité en janvier
Sophie Blouin,3,il y a 17 heures,"Célèbre parc iconique, il perd cependant clairement de son charme à cause des Cast Member qui sont épuisés de l’incivilité de ceux qui ce pensent chez eux. Malheureusement tous le monde n’est pas comme ça, je suis là 1ere a leur dire bonjour, bon courage, merci, aurevoir. Mais enceinte de 8 mois (avec 2 enfants 4 et 12 ans et mon mari) j’ai eu la sensation à plusieurs reprises qu’on dérangeais. On a toujours posé la question à droite à gauche de ce qu’on avais le droit de faire ou non, on a tout respecté et pourtant nous n’avons clairement pas eu de bonne accueil et encore moins de compassion. Je sais bien que être enceinte ce n’est pas une maladie mais un minimum syndical est apprécié. Heureusement que le « pass panpan » existe pour pouvoir bénéficier des avantages de certaines attractions.Je suis déçue .. sincèrement",Visité en janvier
Hadama Yaffa,5,il y a 18 heures,no comment,Visité en janvier
rawabi altamimi,5,il y a 18 heures,"(Traduit par Google) Une expérience merveilleuse, et un jour ne suffit pas, même si je suis arrivé dès son ouverture ♥️Prix ​​des billets dont je ne suis pas sûr car ce n'est pas moi qui réserveEn attente de certains jeux presque une demi-heure(Avis d'origine)تجربة رااااائعة وماتكفي يوم واحد مع انا واصلين لها اول مافتحت ♥️اسعار التذاكر مو متأكدة منها لأن مو انا الي حاجزةانتظار بعض الالعاب تقريباً نص ساعة",Visité en juillet 2019
Andreea Petre,5,il y a 18 heures,no comment,Visité en janvier
